Block; Number; Stack x64; Stack x16
white_terracotta;420;6 stack and 36;26 stack and 4
stripped_jungle_wood;206;3 stack and 14;12 stack and 14
dripstone_block;236;3 stack and 44;14 stack and 12
stripped_oak_log;108;1 stack and 44;6 stack and 12
light_gray_terracotta;293;4 stack and 37;18 stack and 5
smooth_quartz_stairs;4;0 stack and 4;0 stack and 4
spruce_slab;30;0 stack and 30;1 stack and 14
dark_oak_wall_sign;2;0 stack and 2;0 stack and 2
raw_iron_block;144;2 stack and 16;9 stack and 0
ladder;6;0 stack and 6;0 stack and 6
spruce_stairs;27;0 stack and 27;1 stack and 11
black_terracotta;18;0 stack and 18;1 stack and 2
spruce_fence;12;0 stack and 12;0 stack and 12
spruce_trapdoor;2;0 stack and 2;0 stack and 2
barrel;2;0 stack and 2;0 stack and 2
brown_bed;4;0 stack and 4;0 stack and 4
ender_chest;1;0 stack and 1;0 stack and 1
brown_stained_glass;12;0 stack and 12;0 stack and 12
dragon_head;1;0 stack and 1;0 stack and 1
sea_lantern;3;0 stack and 3;0 stack and 3
chain;6;0 stack and 6;0 stack and 6
