Block; Number; Stack x64; Stack x16
white_terracotta;232;3 stack and 40;14 stack and 8
light_gray_terracotta;168;2 stack and 40;10 stack and 8
dripstone_block;84;1 stack and 20;5 stack and 4
stripped_acacia_wood;80;1 stack and 16;5 stack and 0
shroomlight;8;0 stack and 8;0 stack and 8
soul_sand;8;0 stack and 8;0 stack and 8
redstone_wire;37;0 stack and 37;2 stack and 5
repeater;8;0 stack and 8;0 stack and 8
dropper;8;0 stack and 8;0 stack and 8
bubble_column;280;4 stack and 24;17 stack and 8
magenta_terracotta;64;1 stack and 0;4 stack and 0
purple_terracotta;32;0 stack and 32;2 stack and 0
raw_iron_block;48;0 stack and 48;3 stack and 0
hopper;72;1 stack and 8;4 stack and 8
netherrack;287;4 stack and 31;17 stack and 15
red_terracotta;137;2 stack and 9;8 stack and 9
oak_stairs;11;0 stack and 11;0 stack and 11
oak_slab;21;0 stack and 21;1 stack and 5
cobblestone;35;0 stack and 35;2 stack and 3
redstone_wall_torch;7;0 stack and 7;0 stack and 7
pink_terracotta;96;1 stack and 32;6 stack and 0
comparator;7;0 stack and 7;0 stack and 7
red_stained_glass;126;1 stack and 62;7 stack and 14
sea_lantern;3;0 stack and 3;0 stack and 3
chain;1;0 stack and 1;0 stack and 1
glass;170;2 stack and 42;10 stack and 10
barrel;8;0 stack and 8;0 stack and 8
chest;16;0 stack and 16;1 stack and 0
dark_oak_wall_sign;8;0 stack and 8;0 stack and 8
water;32;0 stack and 32;2 stack and 0
